D1,D2,D3,D4,D4_1,D4_2,p2q1 [OS1],p2q1 [OS2],p2q1 [OS3],p2q2 [OA1],p2q2 [OA2],p3q1E [OD1],p3q1E [OD2],p3q1E [OD3],p3q1E [OD4],p3q1E [OD5],p3q1T [OD1],p3q1T [OD2],p3q1T [OD3],p3q1T [OD6],p3q1T [OD4],p3q1T [OD5],p3q2E [OD_E1],p3q2E [OD_E2],p3q2E [OD_E3],p3q2E [OD_E4],p3q2T [OD_E1],p3q2T [OD_E2],p3q2T [OD_E3],p3q2T [OD_E5],p3q2T [OD_E4],p4q1T [1],p4q1T [2],p4q1T [3],p4q1T [4],p4q1T [5],p4q1T [6],p4q1T [7],p4q1T [8],p4q1T_O,p4q1E [1],p4q1E [2],p4q1E [3],p4q1E [4],p4q1E [5],p4q1E [6],p4q1E [7],p4q1E_O,p4q2,p4q2_O,p5q1 [SQ002],p5q1 [SQ001],p5q1 [SQ004],p5q1 [SQ005],p5q1_N,p5q2 [1],p5q2 [2],p5q2 [3],p5q2 [4],p5q2 [5],p5q2 [6],p5q2 [7],p5q2 [8],p5q2 [9],p6q1 [1],p6q1 [2],p6q1 [3],p6q1 [4],p6q2E [1],p6q2E [2],p6q2E [3],p6q2E [4],p6q2T [1],p6q2T [2],p6q2T [3],p6q2T [4],p7q1E [1],p7q1E [2],p7q1E [3],p7q1E [4],p7q1E [5],p7q1T [1],p7q1T [2],p7q1T [3],p7q2,p8q1 [1],p8q1 [2],p8q1 [3],p8q1 [4],p8q1 [5],p8q1 [6],p8q2 [1],p8q2 [2],p8q2 [3],p8q2 [4],p8q2 [5],p8q2 [6],p8q2 [7],p8q3 [1],p8q3 [2],p8q3 [3],p8q3 [4]
Female,China,less than 5 years,Other,,Library and Information Science,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat disagree,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,Strongly agree,Strongly agree,Neutral,Somewhat agree,,,,,,No,No,No,No,No,No,No,No,,No,No,No,Yes,No,No,No,,Each individual researcher should decide for their work autonomously.,,Yes,Yes,No,No,,Affect a lot,Somewhat affect,Rarely affect,Somewhat affect,Neutral,Rarely affect,Somewhat affect,Not at all affect,Neutral,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,,,,,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Very helpful,Very helpful,Very helpful,Very helpful,Very helpful,,,,,Daily,Weekly,Monthly,Weekly,Weekly,Once every 3 months,Very satisfied,Moderately satisfied,Moderately dissatisfied,Moderately satisfied,Very satisfied,Very satisfied,Moderately dissatisfied,Affect a lot,Affect a lot,Neutral,Neutral
Female,United States of America,11 - 15 years,Experiment,51 - 100 members,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,No,No,No,Yes,No,No,No,No,No,No,No,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,,,,,No,No,No,No,No,No,No,No,,No,Yes,No,No,No,No,No,,The HEP community as a whole should decide and set practices.,,Yes,Yes,No,No,,Somewhat affect,Affect a lot,Affect a lot,Affect a lot,Affect a lot,Affect a lot,Affect a lot,Affect a lot,Neutral,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,,,,,Very helpful,Somewhat helpful,Very helpful,Very helpful,Somewhat helpful,,,,,Once every 3 months,Less than once a year,Daily,Daily,Weekly,Daily,Moderately satisfied,Moderately satisfied,Moderately dissatisfied,Moderately dissatisfied,No experience,Moderately dissatisfied,Moderately dissatisfied,Neutral,Somewhat affect,Affect a lot,Somewhat affect
Male,Finland,5 - 10 years,Theory,,,Strongly agree,Strongly agree,Somewhat agree,Neutral,Neutral,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,,,,,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,No,Yes,No,No,No,No,No,No,,No,No,No,No,No,No,No,,Each individual researcher should decide for their work autonomously.,,Yes,Yes,No,No,,Somewhat affect,Somewhat affect,Rarely affect,Somewhat affect,Affect a lot,Somewhat affect,Affect a lot,Rarely affect,Neutral,Somewhat disagree,Strongly agree,Neutral,Neutral,,,,,Somewhat disagree,Strongly agree,Somewhat disagree,Neutral,,,,,,Neutral,Neutral,Neutral,,Weekly,Less than once a year,Less than once a year,Less than once a year,Monthly,Monthly,Moderately satisfied,No experience,No experience,No experience,No experience,Very satisfied,No experience,Somewhat affect,Somewhat affect,Somewhat affect,Somewhat affect
Male,the United Kingdom of Great Britain and Northern Ireland,16 - 20 years,Theory,,,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,,,,,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat disagree,Yes,Yes,Yes,Yes,Yes,Yes,No,No,,No,No,No,No,No,No,No,,Each individual researcher should decide for their work autonomously.,,Yes,Yes,No,No,,Affect a lot,Somewhat affect,Somewhat affect,Somewhat affect,Somewhat affect,Affect a lot,Somewhat affect,Somewhat affect,Somewhat affect,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,,,,,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,,,,,,Somewhat helpful,Somewhat helpful,Somewhat helpful,,Weekly,Less than once a year,Weekly,Monthly,Weekly,Monthly,Very satisfied,No experience,Moderately satisfied,Moderately satisfied,No experience,Moderately satisfied,Very satisfied,Somewhat affect,Somewhat affect,Affect a lot,Somewhat affect
Male,Switzerland,more than 20 years,Other,,accelerator physics,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Yes,No,No,No,Yes,No,No,No,No,No,No,Somewhat agree,Somewhat agree,Strongly agree,Neutral,,,,,,No,No,No,No,No,Yes,No,No,,No,No,No,No,No,No,No,,The HEP community as a whole should decide and set practices.,,Yes,Yes,No,No,,Somewhat affect,Affect a lot,Somewhat affect,Affect a lot,Affect a lot,Affect a lot,Affect a lot,Affect a lot,Neutral,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat disagree,,,,,Somewhat disagree,Strongly agree,Somewhat disagree,Somewhat disagree,Neutral,Neutral,Somewhat unhelpful,Very unhelpful,Somewhat unhelpful,,,,,Less than once a year,Less than once a year,Less than once a year,Monthly,Daily,Once a year,Very satisfied,Moderately satisfied,Neither satisfied nor dissatisfied,No experience,Very satisfied,Moderately satisfied,Moderately satisfied,Affect a lot,Affect a lot,Affect a lot,Neutral
Male,Slovakia,less than 5 years,Experiment,> 500 members,,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,No,No,No,No,Yes,No,No,No,No,No,No,Neutral,Somewhat agree,Neutral,Somewhat agree,,,,,,No,No,No,No,No,No,No,No,,No,No,No,No,Yes,No,No,,Each collaboration or team should decide for their work.,,Yes,Yes,No,No,,Rarely affect,Affect a lot,Rarely affect,Somewhat affect,Affect a lot,Affect a lot,Affect a lot,Neutral,Affect a lot,Neutral,Strongly agree,Neutral,Strongly disagree,Somewhat disagree,Strongly agree,Somewhat disagree,Somewhat disagree,,,,,Somewhat unhelpful,Somewhat unhelpful,Somewhat unhelpful,Somewhat unhelpful,Somewhat unhelpful,,,,,Daily,Daily,Daily,Weekly,Daily,Less than once a year,Very satisfied,Moderately satisfied,Neither satisfied nor dissatisfied,Moderately satisfied,No experience,Moderately satisfied,No experience,Affect a lot,Somewhat affect,Somewhat affect,Neutral
Male,Germany,11 - 15 years,Experiment,> 500 members,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Yes,No,No,Yes,No,No,No,No,No,No,No,Neutral,Somewhat agree,Somewhat agree,Strongly agree,,,,,,No,No,No,No,No,No,No,No,,No,Yes,Yes,Yes,No,No,No,,Each collaboration or team should decide for their work.,,Yes,Yes,No,No,,Affect a lot,Affect a lot,Not at all affect,Somewhat affect,Affect a lot,Somewhat affect,Somewhat affect,Somewhat affect,Somewhat affect,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,,,,,Somewhat helpful,Very helpful,Somewhat helpful,Somewhat helpful,Somewhat helpful,,,,,Daily,Weekly,Daily,Monthly,Daily,Twice a year,Very satisfied,Very satisfied,Very satisfied,Very satisfied,No experience,Very satisfied,Neither satisfied nor dissatisfied,Affect a lot,Affect a lot,Affect a lot,Somewhat affect
Female,United States of America,less than 5 years,Experiment,> 500 members,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,No,No,Yes,No,No,No,No,No,No,No,No,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,,,,,,No,No,No,No,No,No,No,No,,No,No,No,No,Yes,No,No,,The HEP community as a whole should decide and set practices.,,Yes,Yes,No,No,,Rarely affect,Affect a lot,Somewhat affect,Somewhat affect,Somewhat affect,Somewhat affect,Rarely affect,Affect a lot,Affect a lot,Somewhat agree,Strongly agree,Neutral,Somewhat disagree,Somewhat agree,Somewhat agree,Neutral,Somewhat agree,,,,,Very helpful,Very helpful,Somewhat helpful,Somewhat helpful,Very helpful,,,,,Daily,Weekly,Weekly,Weekly,Weekly,Weekly,Very satisfied,Very satisfied,Moderately satisfied,Moderately satisfied,No experience,Moderately satisfied,Very satisfied,Affect a lot,Affect a lot,Affect a lot,Affect a lot
Female,China,less than 5 years,Experiment,> 500 members,,Strongly agree,Neutral,Somewhat agree,Strongly agree,Somewhat agree,Yes,No,No,No,Yes,No,No,No,No,No,No,Strongly agree,Somewhat disagree,Neutral,Neutral,,,,,,No,No,No,No,No,No,No,No,,No,No,Yes,No,No,No,No,,The funding bodies or institutions should decide and develop policies for researchers to follow.,,No,No,Yes,No,,Somewhat affect,Neutral,Somewhat affect,Affect a lot,Affect a lot,Affect a lot,Somewhat affect,Affect a lot,Affect a lot,Neutral,Strongly agree,Strongly disagree,Somewhat disagree,Neutral,Somewhat disagree,Neutral,Somewhat agree,,,,,Somewhat unhelpful,Somewhat unhelpful,Somewhat helpful,Somewhat helpful,Neutral,,,,,Weekly,Monthly,Weekly,Weekly,Daily,Less than once a year,Moderately satisfied,Very satisfied,Neither satisfied nor dissatisfied,Very satisfied,No experience,Very satisfied,No experience,Affect a lot,Affect a lot,Affect a lot,Rarely affect
Male,South Africa,11 - 15 years,Experiment,> 500 members,,Somewhat agree,Somewhat agree,Neutral,Strongly agree,Somewhat agree,No,Yes,No,No,No,No,No,No,No,No,No,Somewhat agree,Somewhat disagree,Neutral,Strongly disagree,,,,,,No,No,No,No,No,No,No,No,,No,No,No,No,Yes,No,No,,The HEP community as a whole should decide and set practices.,,No,Yes,No,No,,Somewhat affect,Not at all affect,Somewhat affect,Somewhat affect,Neutral,Somewhat affect,Neutral,Affect a lot,Affect a lot,Somewhat agree,Strongly agree,Somewhat disagree,Strongly agree,Somewhat disagree,Somewhat agree,Strongly disagree,Somewhat disagree,,,,,Somewhat unhelpful,Somewhat unhelpful,Neutral,Very helpful,Neutral,,,,,Daily,Daily,Daily,Daily,Daily,Daily,Moderately satisfied,Very satisfied,Neither satisfied nor dissatisfied,Very satisfied,No experience,Moderately satisfied,Very satisfied,Affect a lot,Affect a lot,Affect a lot,Affect a lot
