"id","Completed","Last page seen","Start language","Token","Date last action","Date started","Referrer URL","D1","D2","D3","D4","D4_1","D4_2","p2q1 [OS1]","p2q1 [OS2]","p2q1 [OS3]","p2q2 [OA1]","p2q2 [OA2]","p3q1E [OD1]","p3q1E [OD2]","p3q1E [OD3]","p3q1E [OD4]","p3q1E [OD5]","p3q1T [OD1]","p3q1T [OD2]","p3q1T [OD3]","p3q1T [OD6]","p3q1T [OD4]","p3q1T [OD5]","p3q2E [OD_E1]","p3q2E [OD_E2]","p3q2E [OD_E3]","p3q2E [OD_E4]","p3q2T [OD_E1]","p3q2T [OD_E2]","p3q2T [OD_E3]","p3q2T [OD_E5]","p3q2T [OD_E4]","p4q1T [1]","p4q1T [2]","p4q1T [3]","p4q1T [4]","p4q1T [5]","p4q1T [6]","p4q1T [7]","p4q1T [8]","p4q1T_O","p4q1E [1]","p4q1E [2]","p4q1E [3]","p4q1E [4]","p4q1E [5]","p4q1E [6]","p4q1E [7]","p4q1E_O","p4q2","p4q2_O","p5q1 [SQ002]","p5q1 [SQ001]","p5q1 [SQ004]","p5q1 [SQ005]","p5q1_N","p5q2 [1]","p5q2 [2]","p5q2 [3]","p5q2 [4]","p5q2 [5]","p5q2 [6]","p5q2 [7]","p5q2 [8]","p5q2 [9]","p6q1 [1]","p6q1 [2]","p6q1 [3]","p6q1 [4]","p6q2E [1]","p6q2E [2]","p6q2E [3]","p6q2E [4]","p6q2T [1]","p6q2T [2]","p6q2T [3]","p6q2T [4]","p7q1E [1]","p7q1E [2]","p7q1E [3]","p7q1E [4]","p7q1E [5]","p7q1T [1]","p7q1T [2]","p7q1T [3]","p7q2","p8q1 [1]","p8q1 [2]","p8q1 [3]","p8q1 [4]","p8q1 [5]","p8q1 [6]","p8q2 [1]","p8q2 [2]","p8q2 [3]","p8q2 [4]","p8q2 [5]","p8q2 [6]","p8q2 [7]","p8q3 [1]","p8q3 [2]","p8q3 [3]","p8q3 [4]","interviewtime","groupTime564","D1Time","D2Time","D3Time","D4Time","D4_1Time","D4_2Time","groupTime565","p2q1Time","p2q2Time","groupTime612","p3q1ETime","p3q1TTime","p3q2ETime","p3q2TTime","groupTime566","p4q1TTime","p4q1T_OTime","p4q1ETime","p4q1E_OTime","p4q2Time","p4q2_OTime","groupTime570","p5q1Time","p5q1_NTime","p5q2Time","groupTime568","p6q1Time","p6q2ETime","p6q2TTime","groupTime611","p7q1ETime","p7q1TTime","p7q2Time","groupTime571","p8q1Time","p8q2Time","p8q3Time"
"1","2018-04-12 10:20:48","8","en","","2018-04-12 10:20:48","2018-04-12 10:14:01","https://survey.shef.ac.uk/limesurvey/index.php?sid=77428&newtest=Y&lang=en","Female","China","less than 5 years","Other","","Library and Information Science","Strongly agree","Strongly agree","Strongly agree","Somewhat disagree","Somewhat disagree","Yes","Yes","Yes","Yes","No","No","No","No","No","No","No","Strongly agree","Strongly agree","Neutral","Somewhat agree","","","","","","No","No","No","No","No","No","No","No","","No","No","No","Yes","No","No","No","","Each individual researcher should decide for their work autonomously.","","Yes","Yes","No","No","","Affect a lot","Somewhat affect","Rarely affect","Somewhat affect","Neutral","Rarely affect","Somewhat affect","Not at all affect","Neutral","Strongly agree","Strongly agree","Somewhat agree","Somewhat agree","","","","","Somewhat disagree","Somewhat agree","Somewhat agree","Somewhat agree","Very helpful","Very helpful","Very helpful","Very helpful","Very helpful","","","","","Daily","Weekly","Monthly","Weekly","Weekly","Once every 3 months","Very satisfied","Moderately satisfied","Moderately dissatisfied","Moderately satisfied","Very satisfied","Very satisfied","Moderately dissatisfied","Affect a lot","Affect a lot","Neutral","Neutral","408.93","27.56","0","0","0","0","0","0","72.56","0","0","35.86","0","0","0","0","42.64","0","0","0","0","0","0","63.75","0","0","0","58.19","0","0","0","17.86","0","0","0","90.51","0","0","0"
"8","2018-04-14 22:49:14","8","en","","2018-04-14 22:49:14","2018-04-14 22:36:40","https://survey.shef.ac.uk/limesurvey/index.php?sid=77428&lang=en","Female","United States of America","11 - 15 years","Experiment","51 - 100 members","","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","No","No","No","Yes","No","No","No","No","No","No","No","Strongly agree","Strongly agree","Strongly agree","Strongly agree","","","","","","No","No","No","No","No","No","No","No","","No","Yes","No","No","No","No","No","","The HEP community as a whole should decide and set practices.","","Yes","Yes","No","No","","Somewhat affect","Affect a lot","Affect a lot","Affect a lot","Affect a lot","Affect a lot","Affect a lot","Affect a lot","Neutral","Somewhat agree","Strongly agree","Somewhat agree","Somewhat agree","Somewhat agree","Strongly agree","Somewhat agree","Somewhat agree","","","","","Very helpful","Somewhat helpful","Very helpful","Very helpful","Somewhat helpful","","","","","Once every 3 months","Less than once a year","Daily","Daily","Weekly","Daily","Moderately satisfied","Moderately satisfied","Moderately dissatisfied","Moderately dissatisfied","No experience","Moderately dissatisfied","Moderately dissatisfied","Neutral","Somewhat affect","Affect a lot","Somewhat affect","756.5600000000001","71.2","0","0","0","0","0","0","48.59","0","0","51.73","0","0","0","0","49.5","0","0","0","0","0","0","80.77","0","0","0","79.55","0","0","0","230.82","0","0","0","144.4","0","0","0"
"13","2018-04-17 04:22:37","8","en","","2018-04-17 04:22:37","2018-04-17 04:16:49","https://survey.shef.ac.uk/limesurvey/index.php?sid=77428&lang=en","Male","Finland","5 - 10 years","Theory","","","Strongly agree","Strongly agree","Somewhat agree","Neutral","Neutral","No","No","No","No","No","Yes","Yes","Yes","Yes","No","No","","","","","Somewhat agree","Somewhat agree","Somewhat agree","Strongly agree","Somewhat agree","No","Yes","No","No","No","No","No","No","","No","No","No","No","No","No","No","","Each individual researcher should decide for their work autonomously.","","Yes","Yes","No","No","","Somewhat affect","Somewhat affect","Rarely affect","Somewhat affect","Affect a lot","Somewhat affect","Affect a lot","Rarely affect","Neutral","Somewhat disagree","Strongly agree","Neutral","Neutral","","","","","Somewhat disagree","Strongly agree","Somewhat disagree","Neutral","","","","","","Neutral","Neutral","Neutral","","Weekly","Less than once a year","Less than once a year","Less than once a year","Monthly","Monthly","Moderately satisfied","No experience","No experience","No experience","No experience","Very satisfied","No experience","Somewhat affect","Somewhat affect","Somewhat affect","Somewhat affect","350.31999999999994","20.22","0","0","0","0","0","0","58.43","0","0","47.59","0","0","0","0","25.7","0","0","0","0","0","0","45.1","0","0","0","66.11","0","0","0","19.46","0","0","0","67.71","0","0","0"
"15","2018-04-18 00:17:42","8","en","","2018-04-18 00:17:42","2018-04-18 00:06:33","https://survey.shef.ac.uk/limesurvey/index.php?sid=77428&lang=en","Male","the United Kingdom of Great Britain and Northern Ireland","16 - 20 years","Theory","","","Strongly agree","Strongly agree","Somewhat agree","Strongly agree","Strongly agree","No","No","No","No","No","Yes","Yes","Yes","Yes","Yes","No","","","","","Somewhat agree","Somewhat agree","Somewhat agree","Strongly agree","Somewhat disagree","Yes","Yes","Yes","Yes","Yes","Yes","No","No","","No","No","No","No","No","No","No","","Each individual researcher should decide for their work autonomously.","","Yes","Yes","No","No","","Affect a lot","Somewhat affect","Somewhat affect","Somewhat affect","Somewhat affect","Affect a lot","Somewhat affect","Somewhat affect","Somewhat affect","Somewhat disagree","Somewhat agree","Somewhat disagree","Somewhat disagree","","","","","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","","","","","","Somewhat helpful","Somewhat helpful","Somewhat helpful","","Weekly","Less than once a year","Weekly","Monthly","Weekly","Monthly","Very satisfied","No experience","Moderately satisfied","Moderately satisfied","No experience","Moderately satisfied","Very satisfied","Somewhat affect","Somewhat affect","Affect a lot","Somewhat affect","672.8099999999998","67.36","0","0","0","0","0","0","83.52000000000001","0","0","142.8","0","0","0","0","53.050000000000004","0","0","0","0","0","0","63.16","0","0","0","93.35","0","0","0","70.04","0","0","0","99.53","0","0","0"
"17","2018-04-19 16:55:44","8","en","","2018-04-19 16:55:44","2018-04-19 16:48:49","https://survey.shef.ac.uk/limesurvey/index.php?sid=77428&lang=en","Male","Switzerland","more than 20 years","Other","","accelerator physics","Strongly agree","Strongly agree","Strongly agree","Somewhat agree","Somewhat agree","Yes","No","No","No","Yes","No","No","No","No","No","No","Somewhat agree","Somewhat agree","Strongly agree","Neutral","","","","","","No","No","No","No","No","Yes","No","No","","No","No","No","No","No","No","No","","The HEP community as a whole should decide and set practices.","","Yes","Yes","No","No","","Somewhat affect","Affect a lot","Somewhat affect","Affect a lot","Affect a lot","Affect a lot","Affect a lot","Affect a lot","Neutral","Somewhat agree","Strongly agree","Somewhat disagree","Somewhat disagree","","","","","Somewhat disagree","Strongly agree","Somewhat disagree","Somewhat disagree","Neutral","Neutral","Somewhat unhelpful","Very unhelpful","Somewhat unhelpful","","","","","Less than once a year","Less than once a year","Less than once a year","Monthly","Daily","Once a year","Very satisfied","Moderately satisfied","Neither satisfied nor dissatisfied","No experience","Very satisfied","Moderately satisfied","Moderately satisfied","Affect a lot","Affect a lot","Affect a lot","Neutral","418.63000000000005","31.76","0","0","0","0","0","0","52.25","0","0","49.31","0","0","0","0","33.52","0","0","0","0","0","0","60.93","0","0","0","83.68","0","0","0","28.45","0","0","0","78.73","0","0","0"
"19","2018-04-19 19:30:00","8","en","","2018-04-19 19:30:00","2018-04-19 19:23:27","https://survey.shef.ac.uk/limesurvey/index.php?sid=77428&lang=en","Male","Slovakia","less than 5 years","Experiment","> 500 members","","Strongly agree","Strongly agree","Strongly agree","Somewhat agree","Somewhat agree","No","No","No","No","Yes","No","No","No","No","No","No","Neutral","Somewhat agree","Neutral","Somewhat agree","","","","","","No","No","No","No","No","No","No","No","","No","No","No","No","Yes","No","No","","Each collaboration or team should decide for their work.","","Yes","Yes","No","No","","Rarely affect","Affect a lot","Rarely affect","Somewhat affect","Affect a lot","Affect a lot","Affect a lot","Neutral","Affect a lot","Neutral","Strongly agree","Neutral","Strongly disagree","Somewhat disagree","Strongly agree","Somewhat disagree","Somewhat disagree","","","","","Somewhat unhelpful","Somewhat unhelpful","Somewhat unhelpful","Somewhat unhelpful","Somewhat unhelpful","","","","","Daily","Daily","Daily","Weekly","Daily","Less than once a year","Very satisfied","Moderately satisfied","Neither satisfied nor dissatisfied","Moderately satisfied","No experience","Moderately satisfied","No experience","Affect a lot","Somewhat affect","Somewhat affect","Neutral","395.64","27.76","0","0","0","0","0","0","31.93","0","0","50.7","0","0","0","0","24.52","0","0","0","0","0","0","80.99","0","0","0","72.76","0","0","0","30.81","0","0","0","76.17","0","0","0"
"20","2018-04-19 19:40:12","8","en","","2018-04-19 19:40:12","2018-04-19 19:34:37","https://survey.shef.ac.uk/limesurvey/index.php?sid=77428&lang=en","Male","Germany","11 - 15 years","Experiment","> 500 members","","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Somewhat agree","Yes","No","No","Yes","No","No","No","No","No","No","No","Neutral","Somewhat agree","Somewhat agree","Strongly agree","","","","","","No","No","No","No","No","No","No","No","","No","Yes","Yes","Yes","No","No","No","","Each collaboration or team should decide for their work.","","Yes","Yes","No","No","","Affect a lot","Affect a lot","Not at all affect","Somewhat affect","Affect a lot","Somewhat affect","Somewhat affect","Somewhat affect","Somewhat affect","Strongly agree","Strongly agree","Strongly disagree","Strongly disagree","Somewhat disagree","Somewhat agree","Somewhat agree","Somewhat agree","","","","","Somewhat helpful","Very helpful","Somewhat helpful","Somewhat helpful","Somewhat helpful","","","","","Daily","Weekly","Daily","Monthly","Daily","Twice a year","Very satisfied","Very satisfied","Very satisfied","Very satisfied","No experience","Very satisfied","Neither satisfied nor dissatisfied","Affect a lot","Affect a lot","Affect a lot","Somewhat affect","335.67","21.95","0","0","0","0","0","0","20.93","0","0","54.36","0","0","0","0","47.86","0","0","0","0","0","0","50.11","0","0","0","52.44","0","0","0","20.72","0","0","0","67.3","0","0","0"
"21","2018-04-19 19:42:35","8","en","","2018-04-19 19:42:35","2018-04-19 19:36:01","https://survey.shef.ac.uk/limesurvey/index.php?sid=77428&lang=en","Female","United States of America","less than 5 years","Experiment","> 500 members","","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Neutral","No","No","Yes","No","No","No","No","No","No","No","No","Somewhat agree","Somewhat agree","Strongly agree","Strongly agree","","","","","","No","No","No","No","No","No","No","No","","No","No","No","No","Yes","No","No","","The HEP community as a whole should decide and set practices.","","Yes","Yes","No","No","","Rarely affect","Affect a lot","Somewhat affect","Somewhat affect","Somewhat affect","Somewhat affect","Rarely affect","Affect a lot","Affect a lot","Somewhat agree","Strongly agree","Neutral","Somewhat disagree","Somewhat agree","Somewhat agree","Neutral","Somewhat agree","","","","","Very helpful","Very helpful","Somewhat helpful","Somewhat helpful","Very helpful","","","","","Daily","Weekly","Weekly","Weekly","Weekly","Weekly","Very satisfied","Very satisfied","Moderately satisfied","Moderately satisfied","No experience","Moderately satisfied","Very satisfied","Affect a lot","Affect a lot","Affect a lot","Affect a lot","397.65999999999997","31.58","0","0","0","0","0","0","20.62","0","0","37.19","0","0","0","0","29.67","0","0","0","0","0","0","66.87","0","0","0","98.68","0","0","0","25.14","0","0","0","87.91","0","0","0"
"22","2018-04-19 19:58:24","8","en","","2018-04-19 19:58:24","2018-04-19 19:42:36","https://survey.shef.ac.uk/limesurvey/index.php?sid=77428&lang=en","Female","China","less than 5 years","Experiment","> 500 members","","Strongly agree","Neutral","Somewhat agree","Strongly agree","Somewhat agree","Yes","No","No","No","Yes","No","No","No","No","No","No","Strongly agree","Somewhat disagree","Neutral","Neutral","","","","","","No","No","No","No","No","No","No","No","","No","No","Yes","No","No","No","No","","The funding bodies or institutions should decide and develop policies for researchers to follow.","","No","No","Yes","No","","Somewhat affect","Neutral","Somewhat affect","Affect a lot","Affect a lot","Affect a lot","Somewhat affect","Affect a lot","Affect a lot","Neutral","Strongly agree","Strongly disagree","Somewhat disagree","Neutral","Somewhat disagree","Neutral","Somewhat agree","","","","","Somewhat unhelpful","Somewhat unhelpful","Somewhat helpful","Somewhat helpful","Neutral","","","","","Weekly","Monthly","Weekly","Weekly","Daily","Less than once a year","Moderately satisfied","Very satisfied","Neither satisfied nor dissatisfied","Very satisfied","No experience","Very satisfied","No experience","Affect a lot","Affect a lot","Affect a lot","Rarely affect","950.1199999999999","44.26","0","0","0","0","0","0","157.32","0","0","68.1","0","0","0","0","73.57","0","0","0","0","0","0","80.33","0","0","0","116.8","0","0","0","36.02","0","0","0","373.72","0","0","0"
"23","2018-04-19 20:36:02","8","en","","2018-04-19 20:36:02","2018-04-19 20:30:10","https://survey.shef.ac.uk/limesurvey/index.php?sid=77428&lang=en","Male","South Africa","11 - 15 years","Experiment","> 500 members","","Somewhat agree","Somewhat agree","Neutral","Strongly agree","Somewhat agree","No","Yes","No","No","No","No","No","No","No","No","No","Somewhat agree","Somewhat disagree","Neutral","Strongly disagree","","","","","","No","No","No","No","No","No","No","No","","No","No","No","No","Yes","No","No","","The HEP community as a whole should decide and set practices.","","No","Yes","No","No","","Somewhat affect","Not at all affect","Somewhat affect","Somewhat affect","Neutral","Somewhat affect","Neutral","Affect a lot","Affect a lot","Somewhat agree","Strongly agree","Somewhat disagree","Strongly agree","Somewhat disagree","Somewhat agree","Strongly disagree","Somewhat disagree","","","","","Somewhat unhelpful","Somewhat unhelpful","Neutral","Very helpful","Neutral","","","","","Daily","Daily","Daily","Daily","Daily","Daily","Moderately satisfied","Very satisfied","Neither satisfied nor dissatisfied","Very satisfied","No experience","Moderately satisfied","Very satisfied","Affect a lot","Affect a lot","Affect a lot","Affect a lot","355.52","39.8","0","0","0","0","0","0","60.83","0","0","51.66","0","0","0","0","28.72","0","0","0","0","0","0","43.21","0","0","0","45.59","0","0","0","32.27","0","0","0","53.44","0","0","0"
