Gender,D2,D3,D4,D4_1,D4_2,p2q1 [OS1],p2q1 [OS2],p2q1 [OS3],p2q2 [OA1],p2q2 [OA2],p3q1E [OD1],p3q1E [OD2],p3q1E [OD3],p3q1E [OD4],p3q1E [OD5],p3q1T [OD1],p3q1T [OD2],p3q1T [OD3],p3q1T [OD6],p3q1T [OD4],p3q1T [OD5],p3q2E [OD_E1],p3q2E [OD_E2],p3q2E [OD_E3],p3q2E [OD_E4],p3q2T [OD_E1],p3q2T [OD_E2],p3q2T [OD_E3],p3q2T [OD_E4],p3q2T [OD_E5],p4q1T [1],p4q1T [2],p4q1T [3],p4q1T [4],p4q1T [5],p4q1T [6],p4q1T [7],p4q1T [8],p4q1T_O,p4q1E [1],p4q1E [2],p4q1E [3],p4q1E [4],p4q1E [5],p4q1E [6],p4q1E [7],p4q1E_O,p4q2,p4q2_O,p5q1 [SQ002],p5q1 [SQ001],p5q1 [SQ004],p5q1 [SQ005],p5q1_N,p5q2 [1],p5q2 [2],p5q2 [3],p5q2 [4],p5q2 [5],p5q2 [6],p5q2 [7],p5q2 [8],p5q2 [9],p6q1 [1],p6q1 [2],p6q1 [3],p6q1 [4],p6q2E [1],p6q2E [2],p6q2E [3],p6q2E [4],p6q2T [1],p6q2T [2],p6q2T [3],p6q2T [4],p7q1E [1],p7q1E [2],p7q1E [3],p7q1E [4],p7q1E [5],p7q1T [1],p7q1T [2],p7q1T [3],p7q2,p8q1 [1],p8q1 [2],p8q1 [3],p8q1 [4],p8q1 [5],p8q1 [6],p8q2 [1],p8q2 [2],p8q2 [3],p8q2 [4],p8q2 [5],p8q2 [6],p8q2 [7],p8q3 [1],p8q3 [2],p8q3 [3],p8q3 [4]
F,United States of America,Junior,EX,51 - 100 ,,5,5,5,5,5,N,N,N,Y,N,N,N,N,N,N,N,5,5,5,5,,,,,,N,N,N,N,N,N,N,N,,N,Y,N,N,N,N,N,,community,,Y,Y,N,N,,4,5,5,5,5,5,5,5,3,4,5,4,4,4,5,4,4,,,,,5,4,5,5,4,,,,,Once every 3 months,Less than once a year,Daily,Daily,Weekly,Daily,4,4,2,2,0,2,2,3,4,5,4
M,Slovakia,Junior,EX,> 500 ,,5,5,5,4,4,N,N,N,N,Y,N,N,N,N,N,N,3,4,3,4,,,,,,N,N,N,N,N,N,N,N,,N,N,N,N,Y,N,N,,collab,,Y,Y,N,N,,2,5,2,4,5,5,5,3,5,3,5,3,1,2,5,2,2,,,,,2,2,2,2,2,,,,,Daily,Daily,Daily,Weekly,Daily,Less than once a year,5,4,3,4,0,4,0,5,4,4,3
M,Germany,Junior,EX,> 500 ,,5,5,5,5,4,Y,N,N,Y,N,N,N,N,N,N,N,3,4,4,5,,,,,,N,N,N,N,N,N,N,N,,N,Y,Y,Y,N,N,N,,collab,,Y,Y,N,N,,5,5,1,4,5,4,4,4,4,5,5,1,1,2,4,4,4,,,,,4,5,4,4,4,,,,,Daily,Weekly,Daily,Monthly,Daily,Twice a year,5,5,5,5,0,5,3,5,5,5,4
F,United States of America,Junior,EX,> 500 ,,5,5,5,5,3,N,N,Y,N,N,N,N,N,N,N,N,4,4,5,5,,,,,NA,N,N,N,N,N,N,N,N,,N,N,N,N,Y,N,N,,community,,Y,Y,N,N,,2,5,4,4,4,4,2,5,5,4,5,3,2,4,4,3,4,,,,,5,5,4,4,5,,,,,Daily,Weekly,Weekly,Weekly,Weekly,Weekly,5,5,4,4,0,4,5,5,5,5,5
F,China,Junior,EX,> 500 ,,5,3,4,5,4,Y,N,N,N,Y,N,N,N,N,N,N,5,2,3,3,,,,,NA,N,N,N,N,N,N,N,N,,N,N,Y,N,N,N,N,,funder,,N,N,Y,N,,4,3,4,5,5,5,4,5,5,3,5,1,2,3,2,3,4,,,,,2,2,4,4,3,,,,,Weekly,Monthly,Weekly,Weekly,Daily,Less than once a year,4,5,3,5,0,5,0,5,5,5,2
M,South Africa,Junior,EX,> 500 ,,4,4,3,5,4,N,Y,N,N,N,N,N,N,N,N,N,4,2,3,1,,,,,NA,N,N,N,N,N,N,N,N,,N,N,N,N,Y,N,N,,community,,N,Y,N,N,,4,1,4,4,3,4,3,5,5,4,5,2,5,2,4,1,2,,,,,2,2,3,5,3,,,,,Daily,Daily,Daily,Daily,Daily,Daily,4,5,3,5,0,4,5,5,5,5,5
NA,United States of America,Junior,EX,> 500 ,,5,5,5,5,4,Y,Y,Y,Y,N,N,N,N,N,N,N,5,5,5,4,,,,,NA,N,N,N,N,N,N,N,N,,N,Y,N,N,N,N,N,,funder,,Y,Y,N,N,,1,2,2,4,4,5,4,2,3,2,5,1,1,4,1,5,5,,,,,5,5,5,4,5,,,,,Daily,Monthly,Weekly,Daily,Daily,Daily,5,4,3,4,3,3,5,2,5,5,3
F,Belgium,Junior,EX,> 500 ,,5,5,5,5,3,Y,N,N,N,N,N,N,N,N,N,N,5,5,5,2,,,,,NA,N,N,N,N,N,N,N,N,,N,N,N,Y,N,N,N,,funder,,Y,N,N,N,,1,5,4,5,5,5,5,5,5,3,5,1,1,3,5,3,5,,,,,4,3,4,4,3,,,,,Daily,Daily,Daily,Monthly,Daily,Less than once a year,4,4,5,5,0,5,0,3,3,5,5
M,Germany,Junior,EX,> 500 ,,5,5,3,5,4,Y,N,N,N,N,N,N,N,N,N,N,2,2,4,4,,,,,NA,N,N,N,N,N,N,N,N,,N,N,N,N,Y,N,N,,collab,,N,Y,N,N,,4,4,2,4,5,4,4,5,5,2,4,4,4,2,4,1,2,,,,,1,1,1,3,1,,,,,Weekly,Weekly,Daily,Daily,Daily,Weekly,5,4,2,3,3,5,4,4,5,5,3
M,Switzerland,Junior,EX,> 500 ,,5,5,5,5,2,N,N,N,N,Y,N,N,N,N,N,N,3,4,1,5,,,,,NA,N,N,N,N,N,N,N,N,,N,N,N,Y,N,N,N,,community,,N,N,Y,N,,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,,,,,1,5,5,5,1,,,,,Daily,Less than once a year,Daily,Less than once a year,Daily,Less than once a year,5,1,1,0,0,4,0,5,5,5,5
F,the United Kingdom of Great Britain and Nrthern Ireland,Junior,EX,> 500 ,,5,5,5,5,3,N,N,N,N,Y,N,N,N,N,N,N,5,5,4,5,,,,,NA,N,N,N,N,N,N,N,N,,N,N,N,Y,N,N,N,,collab,,Y,Y,N,N,,1,3,2,4,5,5,5,2,1,2,4,2,2,3,4,3,4,,,,,4,5,3,3,2,,,,,Daily,Once a year,Weekly,Weekly,Weekly,Less than once a year,5,3,2,4,2,4,0,5,5,5,4
M,Netherlands,Junior,EX,> 500 ,,5,5,5,5,5,Y,Y,N,N,N,N,N,N,N,N,N,5,5,5,2,,,,,NA,N,N,N,N,N,N,N,N,,N,N,Y,Y,N,N,N,,community,,Y,Y,N,N,,4,5,3,5,3,4,5,3,1,3,5,1,2,4,2,4,5,,,,,5,5,4,4,5,,,,"If we are being honest, the only justification against open data is selfish advantage. For the progress of the field, researchers should always default to open data unless there are other extenuating factors. Just look at the revolution brought about by open source software!",Daily,Weekly,Weekly,Weekly,Daily,Daily,5,2,4,3,0,4,4,3,5,5,5
F,United States of America,Junior,EX,> 500 ,,5,5,5,3,1,Y,N,N,N,N,N,N,N,N,N,N,4,4,1,5,,,,,NA,N,N,N,N,N,N,N,N,,N,N,Y,N,N,N,N,,collab,,Y,Y,N,N,,5,4,4,4,3,4,4,4,4,2,5,4,5,1,5,4,3,,,,,4,2,2,4,4,,,,,Weekly,Monthly,Daily,Monthly,Daily,Less than once a year,3,3,3,2,0,3,0,5,4,5,5
M,France,Junior,EX,> 500 ,,5,4,5,4,3,Y,Y,N,N,N,N,N,N,N,N,N,4,1,3,5,,,,,NA,N,N,N,N,N,N,N,N,,N,N,N,Y,Y,N,N,,community,,Y,Y,N,N,,2,5,3,4,2,2,1,4,5,3,5,1,3,1,5,2,4,,,,,1,1,4,4,2,,,,,Daily,Weekly,Daily,Weekly,Daily,Less than once a year,5,3,4,4,0,4,0,3,3,4,5
F,the United Kingdom of Great Britain and Nrthern Ireland,Junior,EX,> 500 ,,5,5,5,5,3,Y,N,N,N,N,N,N,N,N,N,N,5,5,5,5,,,,,NA,N,N,N,N,N,N,N,N,,N,Y,Y,Y,N,N,N,,community,,Y,Y,N,N,,4,4,4,4,4,4,4,4,4,2,5,2,2,5,5,5,5,,,,,4,5,4,4,5,,,,,Weekly,Weekly,Weekly,Weekly,Weekly,Less than once a year,5,4,4,4,0,4,0,4,4,5,5
M,the United Kingdom of Great Britain and Nrthern Ireland,Junior,EX,> 500 ,,4,4,3,5,3,N,N,N,N,Y,N,N,N,N,N,N,4,2,3,4,,,,,NA,N,N,N,N,N,N,N,N,,N,N,N,Y,Y,N,N,,collab,,N,Y,N,N,,2,5,5,5,5,5,5,5,5,4,3,4,5,3,4,2,2,,,,,2,3,4,5,2,,,,,Daily,Less than once a year,Weekly,Weekly,Daily,Once every 3 months,4,0,3,4,0,5,0,4,5,5,4
M,United States of America,Senior,EX,< 20 ,,1,1,1,1,1,Y,N,N,N,N,N,N,N,N,N,N,1,1,1,1,,,,,NA,N,N,N,N,N,N,N,N,,N,N,N,N,N,Y,N,,individual,,N,N,N,Y,I put much effort into my research so why should I let someone that does Nthing have access to my work?,5,1,5,1,1,2,1,5,5,5,5,5,5,1,5,1,1,,,,,1,1,1,1,1,,,,,Less than once a year,Less than once a year,Less than once a year,Monthly,Twice a year,Less than once a year,0,0,3,3,0,3,1,4,3,3,3
M,Germany,Junior,EX,> 500 ,,5,3,5,5,2,Y,Y,Y,Y,N,N,N,N,N,N,N,5,5,5,1,,,,,NA,N,N,N,N,N,N,N,N,,N,N,Y,Y,Y,N,N,,community,,Y,Y,N,N,,5,5,4,4,4,4,4,3,5,4,5,4,4,3,4,4,5,,,,,5,5,2,2,2,,,,,Daily,Daily,Weekly,Daily,Daily,Daily,5,4,4,4,0,4,5,5,5,5,3
F,Czech Republic,Junior,EX,> 500 ,,5,4,5,5,3,Y,Y,Y,N,N,N,N,N,N,N,N,4,5,5,3,,,,,NA,N,N,N,N,N,N,N,N,,N,Y,N,N,N,N,N,,collab,,Y,Y,N,N,,3,5,1,4,4,4,5,4,4,4,5,2,2,4,5,3,4,,,,,4,4,5,5,5,,,,,Daily,Once every 3 months,Weekly,Once every 3 months,Daily,Twice a year,5,4,3,3,0,4,5,4,5,4,4
M,Germany,Junior,EX,> 500 ,,5,4,4,1,1,Y,N,N,N,N,N,N,N,N,N,N,4,4,1,5,,,,,NA,N,N,N,N,N,N,N,N,,N,N,N,N,Y,N,N,,community,,Y,Y,N,N,,2,4,1,5,2,4,5,4,5,2,5,2,2,2,4,4,4,,,,,2,2,2,4,3,,,,,Weekly,Monthly,Daily,Daily,Daily,Less than once a year,5,3,4,4,0,5,0,5,5,5,4
M,France,Junior,EX,> 500 ,,5,4,4,2,2,Y,Y,N,N,N,N,N,N,N,N,N,4,4,4,2,,,,,NA,N,N,N,N,N,N,N,N,,N,N,N,N,Y,N,Y,"Code should be shared immediately and always, with care taken Nt to leak results. Data can wait until the collaborators have had a chance to exploit it first.",collab,,Y,Y,N,N,,2,4,3,4,4,2,4,5,4,4,5,2,2,1,5,1,3,,,,,2,5,2,2,5,,,,,Daily,Weekly,Weekly,Weekly,Daily,Less than once a year,5,4,4,3,2,4,3,4,5,5,4
M,Switzerland,Junior,EX,> 500 ,,4,2,5,4,4,Y,N,N,N,N,N,N,N,N,N,N,2,5,2,1,,,,,NA,N,N,N,N,N,N,N,N,,N,N,N,N,Y,N,N,,collab,,N,N,Y,N,,5,1,1,4,4,5,4,1,3,3,4,5,3,1,5,1,2,,,,,1,1,3,3,1,,,,,Weekly,Once every 3 months,Monthly,Monthly,Daily,Less than once a year,5,3,3,3,0,5,0,4,4,4,4
M,Portugal,Junior,EX,> 500 ,,5,5,5,3,3,N,N,N,N,Y,N,N,N,N,N,N,5,5,5,5,,,,,NA,N,N,N,N,N,N,N,N,,N,N,Y,N,N,N,N,,collab,,Y,Y,N,N,,3,4,4,2,4,5,5,4,3,4,5,2,3,2,2,2,4,,,,,5,4,5,4,5,,,,,Daily,Daily,Daily,Monthly,Daily,Weekly,5,5,2,4,0,4,5,5,5,5,4
M,France,Senior,EX,> 500 ,,5,5,5,5,5,Y,N,N,N,N,N,N,N,N,N,N,5,5,3,5,,,,,NA,N,N,N,N,N,N,N,N,,N,N,N,Y,Y,N,N,,collab,,N,N,Y,N,,4,4,4,4,4,4,4,4,3,3,4,3,4,2,4,1,1,,,,,5,5,5,4,5,,,,,Monthly,Once a year,Twice a year,Weekly,Daily,Less than once a year,2,2,3,4,3,1,3,4,3,5,4
M,Belgium,Junior,EX,> 500 ,,5,5,5,4,4,Y,Y,N,Y,N,N,N,N,N,N,N,5,5,4,3,,,,,NA,N,N,N,N,N,N,N,N,,Y,Y,Y,Y,N,N,N,,community,,Y,Y,N,N,,4,5,3,3,4,4,5,3,4,1,5,1,1,5,1,4,4,,,,,4,5,3,2,5,,,,"Unfortunately, twiki, slides, analysis Ntes and even papers are very often Nt up to date or incomplete in describing what has been done. For exactly that reason you need the code and data to understand what is happening..",Daily,Once every 3 months,Weekly,Less than once a year,Weekly,Less than once a year,5,4,2,0,0,3,0,4,4,4,5
M,United States of America,Junior,EX,> 500 ,,4,3,4,4,2,Y,Y,N,N,N,N,N,N,N,N,N,4,5,5,4,,,,,NA,N,N,N,N,N,N,N,N,,N,N,N,Y,N,N,N,,collab,,Y,Y,N,N,,5,5,4,4,5,4,4,3,3,5,5,4,2,1,5,3,2,,,,,4,2,2,4,1,,,,"I believe that the focus of peer-review should be maintained on the physics and Nt on the ancillary tools used for it. Code is purely and instrument, and I think that sharing it and the corresponding data is motivated only if it can ease the access of people to the content of a research. Instead of making efforts in documenting the workflow of an analysis, I think it would be more interesting to ensure that the description, the methods and the results of the research are clearly documented and correctly explained in a paper.",Daily,Once a year,Weekly,Weekly,Weekly,Less than once a year,4,0,2,5,0,5,0,4,5,5,5
M,the United Kingdom of Great Britain and Nrthern Ireland,Junior,EX,> 500 ,,5,5,5,5,5,N,N,Y,N,N,N,N,N,N,N,N,5,5,4,4,,,,,NA,N,N,N,N,N,N,N,N,,N,Y,Y,Y,N,N,N,,community,,Y,N,N,N,,4,4,1,4,5,5,5,1,4,4,5,1,1,4,5,4,4,,,,,4,4,4,4,2,,,,,Daily,Daily,Daily,Daily,Daily,Once every 3 months,5,4,2,5,0,5,4,4,5,5,5
M,Russian Federation,Senior,EX,> 500 ,,3,4,3,2,3,N,N,N,N,Y,N,N,N,N,N,N,1,1,2,3,,,,,NA,N,N,N,N,N,N,N,N,,N,Y,N,N,N,N,N,,collab,,N,Y,N,N,,1,3,3,2,2,4,5,4,3,4,4,2,2,2,2,3,4,,,,,2,2,3,3,3,,,,,Daily,Monthly,Daily,Less than once a year,Weekly,Less than once a year,4,4,4,0,0,4,0,4,4,4,3
M,Germany,Junior,EX,> 500 ,,5,5,5,3,3,Y,N,N,N,N,N,N,N,N,N,N,5,5,5,1,,,,,NA,N,N,N,N,N,N,N,N,,N,Y,N,N,N,N,N,,collab,,Y,N,N,N,,5,5,5,4,4,2,4,1,5,1,5,1,1,4,4,4,2,,,,,1,1,3,2,1,,,,,Daily,Daily,Daily,Weekly,Weekly,Once every 3 months,5,4,1,4,2,4,5,5,5,5,5
M,the United Kingdom of Great Britain and Nrthern Ireland,Senior,EX,> 500 ,,4,4,4,4,2,Y,N,N,N,N,N,N,N,N,N,N,3,2,1,5,,,,,NA,N,N,N,N,N,N,N,N,,N,N,N,N,N,Y,Y,See answer to next question.  Totally open sharing is Nt appropriate.,collab,,N,N,Y,N,,5,5,5,5,5,4,3,5,5,3,5,3,2,1,5,1,3,,,,,1,1,1,3,1,,,,It is really up to the collaboration and referees to decide.,Less than once a year,Less than once a year,Once a year,Less than once a year,Less than once a year,Less than once a year,0,0,3,0,0,5,0,5,5,5,4
M,Italy,Junior,EX,> 500 ,,5,5,4,5,4,Y,Y,Y,Y,N,N,N,N,N,N,N,4,4,3,4,,,,,NA,N,N,N,N,N,N,N,N,,N,Y,Y,Y,N,N,N,,collab,,Y,Y,N,N,,5,4,4,5,4,4,4,5,5,5,5,3,2,2,4,3,4,,,,,4,2,2,3,2,,,,,Daily,Monthly,Monthly,Weekly,Daily,Weekly,5,4,2,4,2,5,4,4,5,3,4
F,Italy,Junior,EX,> 500 ,,3,4,3,4,3,Y,N,N,N,N,N,N,N,N,N,N,4,4,4,4,,,,,NA,N,N,N,N,N,N,N,N,,N,N,N,Y,N,N,N,,individual,,N,Y,N,N,,5,4,3,5,4,4,4,5,4,5,5,2,4,2,4,2,5,,,,,5,3,4,5,3,,,,,Weekly,Monthly,Monthly,Weekly,Daily,Less than once a year,5,3,4,5,0,5,0,4,4,5,5
M,Italy,Junior,EX,101 - 500 ,,5,5,5,5,5,Y,N,N,N,N,N,N,N,N,N,N,5,4,4,4,,,,,NA,N,N,N,N,N,N,N,N,,N,N,Y,N,N,N,N,,collab,,N,Y,N,N,,4,5,4,3,3,4,4,5,4,4,5,1,2,4,2,3,4,,,,,5,5,5,4,5,,,,,Monthly,Less than once a year,Weekly,Daily,Less than once a year,Less than once a year,4,0,4,5,0,4,0,5,5,5,5
