id,Gender,Country,Seniority,Field,OS_BeneDiscipline,OS_BeneIndividual,OS_BenePublic,OA_ChSeeking,OA_ChSub,OD_aware,OD_seeking,OD_using,OD_sharing,OD_none,OD_publish,OD_anyone,OD_helpful,OD_dontaffect,Who_decide,Sharing_asked,Sharing_shared,Sharing_never,Sharing_not_interested,Sharing_addedwork,Sharing_rights,Sharing_competition,Sharing_quality,Sharing_essential,Sharing_selfeval,Sharing_request,Sharing_responsiblyused,Sharing_required,Doc_askpeople,Doc_reproduc,Doc_unproductive,Doc_unuseful,Rev_coderev,Rev_qualitynotaffect,Rev_doc,Rev_docreadywhenpublish,Tool_codemanage,Tool_issuetracker,Tool_docmanage,Tool_coediting,Tool_eventmanage,Tool_notebook,Happy_codemanage,Happy_issuetracker,Happy_docmanage,Happy_coediting,Happy_refmanage,Happy_eventmanage,Happy_notebook,Tool_endorsement,Tool_efficient,Tool_easy,Tool_peers
8,Female,United States of America,Junior,Experiment,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,No,No,No,Yes,No,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Community,Yes,Yes,No,No,Somewhat affect,Affect a lot,Affect a lot,Affect a lot,Affect a lot,Affect a lot,Affect a lot,Affect a lot,Neutral,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Once every 3 months,Less than once a year,Daily,Daily,Weekly,Daily,Moderately satisfied,Moderately satisfied,Moderately dissatisfied,Moderately dissatisfied,No experience,Moderately dissatisfied,Moderately dissatisfied,Neutral,Somewhat affect,Affect a lot,Somewhat affect
19,Male,Slovakia,Junior,Experiment,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,No,No,No,No,Yes,Neutral,Somewhat agree,Neutral,Somewhat agree,Collab,Yes,Yes,No,No,Rarely affect,Affect a lot,Rarely affect,Somewhat affect,Affect a lot,Affect a lot,Affect a lot,Neutral,Affect a lot,Neutral,Strongly agree,Neutral,Strongly disagree,Somewhat disagree,Strongly agree,Somewhat disagree,Somewhat disagree,Daily,Daily,Daily,Weekly,Daily,Less than once a year,Very satisfied,Moderately satisfied,Neither satisfied nor dissatisfied,Moderately satisfied,No experience,Moderately satisfied,No experience,Affect a lot,Somewhat affect,Somewhat affect,Neutral
20,Male,Germany,Junior,Experiment,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Yes,No,No,Yes,No,Neutral,Somewhat agree,Somewhat agree,Strongly agree,Collab,Yes,Yes,No,No,Affect a lot,Affect a lot,Not at all affect,Somewhat affect,Affect a lot,Somewhat affect,Somewhat affect,Somewhat affect,Somewhat affect,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Daily,Weekly,Daily,Monthly,Daily,Twice a year,Very satisfied,Very satisfied,Very satisfied,Very satisfied,No experience,Very satisfied,Neither satisfied nor dissatisfied,Affect a lot,Affect a lot,Affect a lot,Somewhat affect
21,Female,United States of America,Junior,Experiment,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,No,No,Yes,No,No,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Community,Yes,Yes,No,No,Rarely affect,Affect a lot,Somewhat affect,Somewhat affect,Somewhat affect,Somewhat affect,Rarely affect,Affect a lot,Affect a lot,Somewhat agree,Strongly agree,Neutral,Somewhat disagree,Somewhat agree,Somewhat agree,Neutral,Somewhat agree,Daily,Weekly,Weekly,Weekly,Weekly,Weekly,Very satisfied,Very satisfied,Moderately satisfied,Moderately satisfied,No experience,Moderately satisfied,Very satisfied,Affect a lot,Affect a lot,Affect a lot,Affect a lot
22,Female,China,Junior,Experiment,Strongly agree,Neutral,Somewhat agree,Strongly agree,Somewhat agree,Yes,No,No,No,Yes,Strongly agree,Somewhat disagree,Neutral,Neutral,Funders,No,No,Yes,No,Somewhat affect,Neutral,Somewhat affect,Affect a lot,Affect a lot,Affect a lot,Somewhat affect,Affect a lot,Affect a lot,Neutral,Strongly agree,Strongly disagree,Somewhat disagree,Neutral,Somewhat disagree,Neutral,Somewhat agree,Weekly,Monthly,Weekly,Weekly,Daily,Less than once a year,Moderately satisfied,Very satisfied,Neither satisfied nor dissatisfied,Very satisfied,No experience,Very satisfied,No experience,Affect a lot,Affect a lot,Affect a lot,Rarely affect
23,Male,South Africa,Junior,Experiment,Somewhat agree,Somewhat agree,Neutral,Strongly agree,Somewhat agree,No,Yes,No,No,No,Somewhat agree,Somewhat disagree,Neutral,Strongly disagree,Community,No,Yes,No,No,Somewhat affect,Not at all affect,Somewhat affect,Somewhat affect,Neutral,Somewhat affect,Neutral,Affect a lot,Affect a lot,Somewhat agree,Strongly agree,Somewhat disagree,Strongly agree,Somewhat disagree,Somewhat agree,Strongly disagree,Somewhat disagree,Daily,Daily,Daily,Daily,Daily,Daily,Moderately satisfied,Very satisfied,Neither satisfied nor dissatisfied,Very satisfied,No experience,Moderately satisfied,Very satisfied,Affect a lot,Affect a lot,Affect a lot,Affect a lot
25,Prefer not to say,United States of America,Junior,Experiment,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Yes,Yes,Yes,Yes,No,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Funders,Yes,Yes,No,No,Not at all affect,Rarely affect,Rarely affect,Somewhat affect,Somewhat affect,Affect a lot,Somewhat affect,Rarely affect,Neutral,Somewhat disagree,Strongly agree,Strongly disagree,Strongly disagree,Somewhat agree,Strongly disagree,Strongly agree,Strongly agree,Daily,Monthly,Weekly,Daily,Daily,Daily,Very satisfied,Moderately satisfied,Neither satisfied nor dissatisfied,Moderately satisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Very satisfied,Rarely affect,Affect a lot,Affect a lot,Neutral
27,Female,Belgium,Junior,Experiment,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Yes,No,No,No,No,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Funders,Yes,No,No,No,Not at all affect,Affect a lot,Somewhat affect,Affect a lot,Affect a lot,Affect a lot,Affect a lot,Affect a lot,Affect a lot,Neutral,Strongly agree,Strongly disagree,Strongly disagree,Neutral,Strongly agree,Neutral,Strongly agree,Daily,Daily,Daily,Monthly,Daily,Less than once a year,Moderately satisfied,Moderately satisfied,Very satisfied,Very satisfied,No experience,Very satisfied,No experience,Neutral,Neutral,Affect a lot,Affect a lot
28,Male,Germany,Junior,Experiment,Strongly agree,Strongly agree,Neutral,Strongly agree,Somewhat agree,Yes,No,No,No,No,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Collab,No,Yes,No,No,Somewhat affect,Somewhat affect,Rarely affect,Somewhat affect,Affect a lot,Somewhat affect,Somewhat affect,Affect a lot,Affect a lot,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly disagree,Somewhat disagree,Weekly,Weekly,Daily,Daily,Daily,Weekly,Very satisfied,Moderately satisfied,Moderately dissatisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Very satisfied,Moderately satisfied,Somewhat affect,Affect a lot,Affect a lot,Neutral
33,Male,Switzerland,Junior,Experiment,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,No,No,No,No,Yes,Neutral,Somewhat agree,Strongly disagree,Strongly agree,Community,No,No,Yes,No,Affect a lot,Affect a lot,Affect a lot,Affect a lot,Affect a lot,Affect a lot,Affect a lot,Affect a lot,Affect a lot,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Daily,Less than once a year,Daily,Less than once a year,Daily,Less than once a year,Very satisfied,Very dissatisfied,Very dissatisfied,No experience,No experience,Moderately satisfied,No experience,Affect a lot,Affect a lot,Affect a lot,Affect a lot
