id,Gender,Country,Seniority,Field,p4q1T_O,p4q1E_O,p4q2_O,p5q1_N,p7q2
8,Female,United States of America,11 - 15 years,Experiment,,,,,
19,Male,Slovakia,less than 5 years,Experiment,,,,,
20,Male,Germany,11 - 15 years,Experiment,,,,,
21,Female,United States of America,less than 5 years,Experiment,,,,,
22,Female,China,less than 5 years,Experiment,,,,,
23,Male,South Africa,11 - 15 years,Experiment,,,,,
25,Prefer not to say,United States of America,less than 5 years,Experiment,,,,,
27,Female,Belgium,5 - 10 years,Experiment,,,,,
28,Male,Germany,less than 5 years,Experiment,,,,,
33,Male,Switzerland,less than 5 years,Experiment,,,,,
36,Female,the United Kingdom of Great Britain and Northern Ireland,less than 5 years,Experiment,,,,,
39,Male,Netherlands,5 - 10 years,Experiment,,,,,"If we are being honest, the only justification against open data is selfish advantage. For the progress of the field, researchers should always default to open data unless there are other extenuating factors. Just look at the revolution brought about by open source software!"
40,Female,United States of America,5 - 10 years,Experiment,,,,,
42,Male,France,less than 5 years,Experiment,,,,,
45,Female,the United Kingdom of Great Britain and Northern Ireland,less than 5 years,Experiment,,,,,
46,Male,the United Kingdom of Great Britain and Northern Ireland,less than 5 years,Experiment,,,,,
49,Male,United States of America,more than 20 years,Experiment,,,,I put much effort into my research so why should I let someone that does nothing have access to my work?,
52,Male,Germany,5 - 10 years,Experiment,,,,,
53,Female,Czech Republic,5 - 10 years,Experiment,,,,,
54,Male,Germany,less than 5 years,Experiment,,,,,
55,Male,France,5 - 10 years,Experiment,,"Code should be shared immediately and always, with care taken not to leak results. Data can wait until the collaborators have had a chance to exploit it first.",,,
59,Male,Switzerland,11 - 15 years,Experiment,,,,,
60,Male,Portugal,less than 5 years,Experiment,,,,,
61,Male,France,more than 20 years,Experiment,,,,,
62,Male,Belgium,5 - 10 years,Experiment,,,,,"Unfortunately, twiki, slides, analysis notes and even papers are very often not up to date or incomplete in describing what has been done. For exactly that reason you need the code and data to understand what is happening.."
63,Male,United States of America,less than 5 years,Experiment,,,,,"I believe that the focus of peer-review should be maintained on the physics and not on the ancillary tools used for it. Code is purely and instrument, and I think that sharing it and the corresponding data is motivated only if it can ease the access of people to the content of a research. Instead of making efforts in documenting the workflow of an analysis, I think it would be more interesting to ensure that the description, the methods and the results of the research are clearly documented and correctly explained in a paper."
66,Male,the United Kingdom of Great Britain and Northern Ireland,5 - 10 years,Experiment,,,,,
68,Male,Russian Federation,16 - 20 years,Experiment,,,,,
69,Male,Germany,less than 5 years,Experiment,,,,,
71,Male,the United Kingdom of Great Britain and Northern Ireland,more than 20 years,Experiment,,See answer to next question.  Totally open sharing is not appropriate.,,,It is really up to the collaboration and referees to decide.
73,Male,Italy,5 - 10 years,Experiment,,,,,
77,Female,Italy,less than 5 years,Experiment,,,,,
79,Male,Italy,less than 5 years,Experiment,,,,,
80,Male,Austria,less than 5 years,Experiment,,,,,
81,Male,Georgia,5 - 10 years,Experiment,,,,,
83,Male,Italy,more than 20 years,Experiment,,,,,
84,Male,United States of America,less than 5 years,Experiment,,,,,passing down scripted workflows creates a real blackbox lack of understanding. click & collect should not be encouraged.
87,Male,Spain,11 - 15 years,Experiment,,,,,
89,Male,United States of America,5 - 10 years,Experiment,,,,,
90,Male,Russian Federation,5 - 10 years,Experiment,,,,,
91,Male,Italy,less than 5 years,Experiment,,,,,
93,Male,France,less than 5 years,Experiment,,,,,
94,Female,Italy,5 - 10 years,Experiment,,"I think that releasing data should be At the same time as the publication of the paper, but I don't agree on sharing the code",,,
98,Female,Spain,more than 20 years,Experiment,,,,,
100,Male,Greece,more than 20 years,Experiment,,,,,
101,Male,France,less than 5 years,Experiment,,,,,
102,Female,United States of America,11 - 15 years,Experiment,,"I'd share data, not the code. Sharing after publication.",,,
105,Male,Australia,5 - 10 years,Experiment,,,,,
106,Male,Italy,16 - 20 years,Experiment,,,,,
107,Male,Czech Republic,more than 20 years,Experiment,,,,,
110,Male,Republic of Korea,11 - 15 years,Experiment,,,,,
114,Male,United States of America,more than 20 years,Experiment,,,,,
115,Male,Russian Federation,more than 20 years,Experiment,,,,,
117,Male,Greece,less than 5 years,Experiment,,,,,
118,Male,France,less than 5 years,Experiment,,,,,
121,Male,United States of America,more than 20 years,Experiment,,,,,
122,Male,Italy,more than 20 years,Experiment,,,,,
123,Male,Hungary,5 - 10 years,Experiment,,,,,
124,Prefer not to say,Switzerland,more than 20 years,Experiment,,Question is too simple minded,,,
128,Male,India,less than 5 years,Experiment,,,,,
130,Male,Italy,more than 20 years,Experiment,,"in any relatively complex research, releasing data and code in public domain doesn't change anything, basically nobody will have the knowledge to use those data and code",,,
132,Male,United States of America,more than 20 years,Experiment,,,,,
135,Prefer not to say,Russian Federation,16 - 20 years,Experiment,,,,,
136,Male,Italy,5 - 10 years,Experiment,,,,,
140,Male,Italy,less than 5 years,Experiment,,,,,
141,Female,Italy,11 - 15 years,Experiment,,,,,
