id,Gender,Country,Seniority,Field,Field_S,Research_done,Submitted,Accepted,Published,After_publication,Not_appropriate,Other,Rev_data,Rev_code,Rev_Twiki,Rev_slides,Rev_workflow
8,Female,United States of America,11 - 15 years,Experiment,51 - 100 members,No,Yes,No,No,No,No,No,Very helpful,Somewhat helpful,Very helpful,Very helpful,Somewhat helpful
19,Male,Slovakia,less than 5 years,Experiment,> 500 members,No,No,No,No,Yes,No,No,Somewhat unhelpful,Somewhat unhelpful,Somewhat unhelpful,Somewhat unhelpful,Somewhat unhelpful
20,Male,Germany,11 - 15 years,Experiment,> 500 members,No,Yes,Yes,Yes,No,No,No,Somewhat helpful,Very helpful,Somewhat helpful,Somewhat helpful,Somewhat helpful
21,Female,United States of America,less than 5 years,Experiment,> 500 members,No,No,No,No,Yes,No,No,Very helpful,Very helpful,Somewhat helpful,Somewhat helpful,Very helpful
22,Female,China,less than 5 years,Experiment,> 500 members,No,No,Yes,No,No,No,No,Somewhat unhelpful,Somewhat unhelpful,Somewhat helpful,Somewhat helpful,Neutral
23,Male,South Africa,11 - 15 years,Experiment,> 500 members,No,No,No,No,Yes,No,No,Somewhat unhelpful,Somewhat unhelpful,Neutral,Very helpful,Neutral
25,Prefer not to say,United States of America,less than 5 years,Experiment,> 500 members,No,Yes,No,No,No,No,No,Very helpful,Very helpful,Very helpful,Somewhat helpful,Very helpful
27,Female,Belgium,5 - 10 years,Experiment,> 500 members,No,No,No,Yes,No,No,No,Somewhat helpful,Neutral,Somewhat helpful,Somewhat helpful,Neutral
28,Male,Germany,less than 5 years,Experiment,> 500 members,No,No,No,No,Yes,No,No,Very unhelpful,Very unhelpful,Very unhelpful,Neutral,Very unhelpful
33,Male,Switzerland,less than 5 years,Experiment,> 500 members,No,No,No,Yes,No,No,No,Very unhelpful,Very helpful,Very helpful,Very helpful,Very unhelpful
36,Female,the United Kingdom of Great Britain and Northern Ireland,less than 5 years,Experiment,> 500 members,No,No,No,Yes,No,No,No,Somewhat helpful,Very helpful,Neutral,Neutral,Somewhat unhelpful
39,Male,Netherlands,5 - 10 years,Experiment,> 500 members,No,No,Yes,Yes,No,No,No,Very helpful,Very helpful,Somewhat helpful,Somewhat helpful,Very helpful
40,Female,United States of America,5 - 10 years,Experiment,> 500 members,No,No,Yes,No,No,No,No,Somewhat helpful,Somewhat unhelpful,Somewhat unhelpful,Somewhat helpful,Somewhat helpful
42,Male,France,less than 5 years,Experiment,> 500 members,No,No,No,Yes,Yes,No,No,Very unhelpful,Very unhelpful,Somewhat helpful,Somewhat helpful,Somewhat unhelpful
45,Female,the United Kingdom of Great Britain and Northern Ireland,less than 5 years,Experiment,> 500 members,No,Yes,Yes,Yes,No,No,No,Somewhat helpful,Very helpful,Somewhat helpful,Somewhat helpful,Very helpful
46,Male,the United Kingdom of Great Britain and Northern Ireland,less than 5 years,Experiment,> 500 members,No,No,No,Yes,Yes,No,No,Somewhat unhelpful,Neutral,Somewhat helpful,Very helpful,Somewhat unhelpful
49,Male,United States of America,more than 20 years,Experiment,< 20 members,No,No,No,No,No,Yes,No,Very unhelpful,Very unhelpful,Very unhelpful,Very unhelpful,Very unhelpful
52,Male,Germany,5 - 10 years,Experiment,> 500 members,No,No,Yes,Yes,Yes,No,No,Very helpful,Very helpful,Somewhat unhelpful,Somewhat unhelpful,Somewhat unhelpful
