D3,D4,p4q2
Senior,EX,collab
Senior,EX,individual
Senior,EX,collab
Senior,TH,collab
Senior,EX,collab
Senior,EX,individual
Senior,EX,collab
Senior,TH,individual
Senior,EX,individual
Senior,EX,collab
Senior,EX,collab
Senior,EX,community
Junior,EX,collab
Senior,EX,Other
Junior,EX,Other
Junior,EX,Other
Senior,EX,Other
Senior,Other,Other
Junior,EX,Other
Junior,EX,Other
Senior,EX,funder
Junior,EX,community
Junior,EX,collab
Senior,EX,funder
Junior,EX,collab
Junior,EX,collab
Junior,EX,collab
Junior,EX,collab
Junior,EX,community
Senior,EX,collab
Senior,EX,collab
Senior,EX,collab
Senior,EX,individual
Senior,EX,collab
Senior,EX,collab
Junior,EX,community
Senior,EX,collab
Senior,EX,community
Senior,EX,collab
Senior,EX,collab
Junior,EX,collab
Junior,EX,community
Junior,EX,collab
Junior,EX,collab
Junior,EX,community
Junior,EX,funder
Junior,EX,community
Junior,EX,funder
Junior,EX,funder
Junior,EX,collab
Junior,EX,community
Junior,EX,collab
Junior,EX,community
Junior,EX,collab
Junior,EX,community
Junior,EX,community
Junior,EX,collab
Junior,EX,community
Junior,EX,collab
Junior,EX,community
Junior,EX,collab
Junior,EX,collab
Senior,EX,collab
Junior,EX,community
Junior,EX,collab
Junior,EX,community
Senior,EX,collab
Junior,EX,collab
Junior,EX,collab
Junior,EX,individual
Junior,EX,collab
Junior,EX,collab
Junior,EX,funder
Senior,EX,community
Junior,EX,individual
Junior,EX,community
Junior,EX,collab
Junior,EX,collab
Junior,EX,funder
Junior,EX,community
Senior,EX,collab
Senior,EX,community
Junior,EX,collab
Junior,EX,community
Senior,EX,funder
Senior,EX,individual
Junior,EX,collab
Senior,EX,community
Senior,EX,collab
Junior,EX,individual
Junior,EX,community
Senior,EX,collab
Senior,EX,collab
Junior,EX,collab
Junior,EX,individual
Senior,EX,collab
Senior,EX,funder
Junior,EX,collab
Junior,EX,community
Junior,EX,community
Junior,EX,collab
Junior,EX,community
Senior,EX,collab
Senior,EX,collab
Senior,EX,community
Senior,EX,collab
Senior,EX,collab
Junior,EX,funder
Junior,EX,collab
Junior,EX,collab
Junior,EX,collab
Junior,EX,community
Junior,EX,community
Junior,EX,collab
Senior,EX,collab
Junior,EX,community
Junior,EX,community
Junior,EX,individual
Junior,EX,funder
Senior,EX,community
Senior,EX,funder
Senior,EX,collab
Senior,EX,collab
Junior,EX,collab
Junior,EX,community
Senior,EX,community
Senior,EX,collab
Senior,EX,collab
Junior,EX,collab
Junior,EX,community
Junior,EX,funder
Junior,EX,collab
Junior,EX,collab
Junior,EX,community
Senior,EX,collab
Junior,EX,community
Junior,EX,collab
Junior,EX,collab
Senior,EX,community
Junior,EX,community
Junior,EX,funder
Senior,EX,collab
Junior,EX,collab
Junior,EX,individual
Senior,EX,collab
Junior,EX,community
Senior,EX,collab
Senior,EX,community
Junior,EX,community
Junior,EX,community
Senior,EX,collab
Senior,EX,collab
Junior,EX,collab
Senior,EX,community
Senior,EX,community
Junior,EX,collab
Junior,EX,collab
Senior,EX,collab
Senior,EX,collab
Senior,EX,community
Junior,EX,collab
Junior,EX,collab
Senior,EX,collab
Junior,EX,community
Junior,EX,community
Senior,EX,collab
Senior,EX,collab
Senior,EX,collab
Senior,EX,funder
Junior,EX,funder
Junior,EX,community
Senior,EX,collab
Senior,EX,collab
Junior,EX,community
Senior,EX,community
Senior,EX,funder
Senior,EX,collab
Junior,EX,community
Senior,EX,collab
Junior,EX,collab
Junior,EX,community
Senior,EX,collab
Junior,EX,community
Senior,EX,collab
Junior,EX,community
Junior,EX,individual
Junior,EX,community
Junior,EX,community
Junior,EX,collab
Junior,EX,collab
Junior,EX,collab
Junior,EX,collab
Senior,EX,collab
Senior,EX,collab
Junior,EX,community
Junior,EX,collab
Senior,EX,community
Junior,EX,collab
Senior,EX,collab
Junior,EX,collab
Senior,EX,community
Junior,EX,community
Junior,EX,community
Junior,EX,individual
Senior,EX,community
Senior,EX,community
Junior,EX,collab
Senior,EX,collab
Junior,EX,collab
Junior,EX,funder
Junior,EX,collab
Junior,EX,collab
Senior,EX,funder
Senior,EX,funder
Senior,EX,collab
Senior,EX,funder
Senior,EX,collab
Junior,EX,collab
Senior,EX,collab
Junior,EX,community
Junior,EX,individual
Junior,EX,collab
Senior,EX,collab
Senior,EX,collab
Junior,EX,collab
Junior,EX,funder
Senior,EX,community
Junior,EX,funder
Senior,EX,collab
Senior,EX,community
Junior,EX,collab
Junior,EX,funder
Senior,EX,community
Senior,EX,community
Senior,EX,collab
Junior,EX,community
Junior,EX,community
Senior,EX,collab
Junior,EX,community
Senior,EX,collab
Junior,EX,funder
Senior,EX,collab
Senior,EX,funder
Junior,EX,collab
Senior,EX,funder
Senior,EX,collab
Senior,EX,community
Junior,EX,collab
Junior,EX,community
Senior,EX,community
Senior,EX,community
Senior,EX,community
Junior,EX,individual
Senior,EX,collab
Junior,EX,collab
Senior,EX,collab
Senior,EX,collab
Senior,EX,collab
Senior,EX,community
Senior,EX,collab
Junior,EX,collab
Senior,EX,collab
Junior,EX,community
Junior,EX,community
Senior,EX,community
Junior,EX,collab
Junior,EX,collab
Senior,EX,funder
Junior,EX,collab
Senior,EX,collab
Senior,EX,community
Senior,EX,community
Junior,EX,collab
Junior,EX,collab
Senior,EX,collab
Junior,EX,collab
Senior,EX,collab
Junior,EX,collab
Junior,EX,collab
Senior,EX,collab
Junior,EX,collab
Senior,EX,collab
Junior,EX,collab
Junior,EX,community
Junior,EX,funder
Senior,EX,collab
Senior,EX,collab
Senior,EX,community
Junior,EX,community
Junior,EX,community
Senior,EX,collab
Junior,EX,collab
Senior,EX,community
Junior,EX,collab
Junior,EX,collab
Senior,EX,collab
Junior,EX,collab
Junior,EX,community
Junior,EX,collab
Senior,EX,collab
Junior,EX,collab
Junior,EX,collab
Junior,EX,community
Junior,EX,collab
Junior,EX,collab
Junior,EX,community
Junior,EX,individual
Junior,EX,community
Junior,EX,community
Senior,EX,collab
Senior,EX,community
Junior,EX,collab
Junior,EX,collab
Junior,EX,collab
Senior,EX,collab
Junior,EX,collab
Junior,EX,collab
Senior,EX,collab
Senior,EX,funder
Senior,EX,collab
Junior,EX,individual
Senior,EX,community
Junior,EX,community
Junior,EX,community
Senior,EX,collab
Senior,EX,collab
Junior,EX,individual
Junior,EX,collab
Junior,EX,collab
Senior,EX,collab
Junior,EX,community
Senior,EX,collab
Junior,EX,collab
Junior,EX,community
Senior,EX,community
Senior,EX,funder
Senior,EX,individual
Junior,EX,community
Senior,EX,collab
Junior,EX,community
Junior,EX,collab
Senior,EX,collab
Senior,EX,community
Junior,EX,collab
Senior,EX,collab
Junior,EX,collab
Junior,EX,collab
Senior,EX,funder
Junior,EX,collab
Junior,EX,individual
Junior,EX,individual
Junior,EX,collab
Senior,EX,individual
Junior,EX,collab
Junior,EX,collab
Senior,EX,funder
Senior,EX,collab
Senior,EX,collab
Junior,EX,collab
Junior,EX,collab
Senior,EX,collab
Senior,EX,collab
Junior,EX,community
Senior,EX,collab
Junior,EX,funder
Junior,EX,funder
Senior,EX,collab
Senior,EX,funder
Junior,EX,collab
Junior,EX,community
Junior,EX,community
Senior,EX,collab
Senior,EX,collab
Senior,EX,community
Junior,EX,community
Junior,EX,funder
Senior,EX,individual
Senior,EX,collab
Senior,EX,collab
Junior,EX,collab
Senior,EX,collab
Senior,EX,funder
Junior,EX,community
Junior,EX,community
Senior,EX,collab
Senior,EX,collab
Senior,EX,community
Senior,EX,community
Senior,EX,funder
Senior,EX,community
Junior,EX,collab
Senior,EX,collab
Junior,EX,community
Senior,EX,community
Senior,EX,collab
Senior,EX,community
Junior,EX,community
Senior,EX,community
Junior,EX,collab
Junior,EX,collab
Senior,EX,community
Senior,EX,community
Senior,EX,community
Senior,EX,collab
Senior,EX,collab
Senior,EX,collab
Senior,EX,collab
Senior,EX,collab
Senior,EX,community
Junior,EX,individual
Junior,EX,collab
Senior,EX,funder
Senior,EX,collab
Junior,EX,collab
Junior,EX,collab
Junior,EX,collab
Junior,EX,community
Senior,EX,collab
Junior,EX,community
Senior,EX,community
Senior,EX,community
Junior,EX,community
Senior,EX,collab
Junior,EX,individual
Junior,EX,funder
Senior,EX,community
Junior,EX,funder
Junior,EX,funder
Senior,EX,community
Junior,EX,community
Junior,EX,collab
