seniority,Field,whoDecide,awareofOD
Senior,EX,collab,N
Senior,EX,individual,Y
Senior,EX,collab,Y
Senior,EX,collab,Y
Senior,EX,individual,Y
Senior,EX,collab,Y
Senior,EX,individual,N
Senior,EX,collab,N
Senior,EX,collab,N
Senior,EX,community,Y
Junior,EX,collab,Y
Senior,EX,Other,N
Junior,EX,Other,Y
Junior,EX,Other,Y
Senior,EX,Other,N
Junior,EX,Other,Y
Junior,EX,Other,Y
Senior,EX,funder,N
Junior,EX,community,Y
Junior,EX,collab,Y
Senior,EX,funder,Y
Junior,EX,collab,Y
Junior,EX,collab,Y
Junior,EX,collab,N
Junior,EX,collab,Y
Junior,EX,community,N
Senior,EX,collab,N
Senior,EX,collab,Y
Senior,EX,collab,N
Senior,EX,individual,Y
Senior,EX,collab,Y
Senior,EX,collab,Y
Junior,EX,community,Y
Senior,EX,collab,Y
Senior,EX,community,Y
Senior,EX,collab,Y
Senior,EX,collab,Y
Junior,EX,collab,Y
Junior,EX,community,N
Junior,EX,collab,N
Junior,EX,collab,Y
Junior,EX,community,N
Junior,EX,funder,Y
Junior,EX,community,N
Junior,EX,funder,Y
Junior,EX,funder,Y
Junior,EX,collab,Y
Junior,EX,community,N
Junior,EX,collab,N
Junior,EX,community,Y
Junior,EX,collab,Y
Junior,EX,community,Y
Junior,EX,community,Y
Junior,EX,collab,N
Junior,EX,community,Y
Junior,EX,collab,Y
Junior,EX,community,Y
Junior,EX,collab,Y
Junior,EX,collab,N
Senior,EX,collab,Y
Junior,EX,community,Y
Junior,EX,collab,Y
Junior,EX,community,N
Senior,EX,collab,N
Junior,EX,collab,Y
Junior,EX,collab,Y
Junior,EX,individual,Y
Junior,EX,collab,Y
Junior,EX,collab,Y
Junior,EX,funder,N
Senior,EX,community,N
Junior,EX,individual,Y
Junior,EX,community,Y
Junior,EX,collab,Y
Junior,EX,collab,N
Junior,EX,funder,Y
Junior,EX,community,Y
Senior,EX,collab,Y
Senior,EX,community,Y
Junior,EX,collab,Y
Junior,EX,community,Y
Senior,EX,funder,N
Senior,EX,individual,Y
Junior,EX,collab,Y
Senior,EX,community,N
Senior,EX,collab,Y
Junior,EX,individual,Y
Junior,EX,community,Y
Senior,EX,collab,Y
Senior,EX,collab,Y
Junior,EX,collab,N
Junior,EX,individual,N
Senior,EX,collab,Y
Senior,EX,funder,Y
Junior,EX,collab,Y
Junior,EX,community,N
Junior,EX,community,N
Junior,EX,collab,Y
Junior,EX,community,N
Senior,EX,collab,Y
Senior,EX,collab,Y
Senior,EX,community,Y
Senior,EX,collab,Y
Senior,EX,collab,Y
Junior,EX,funder,Y
Junior,EX,collab,Y
Junior,EX,collab,Y
Junior,EX,collab,N
Junior,EX,community,Y
Junior,EX,community,Y
Junior,EX,collab,Y
Senior,EX,collab,Y
Junior,EX,community,Y
Junior,EX,community,Y
Junior,EX,individual,Y
Junior,EX,funder,Y
Senior,EX,community,N
Senior,EX,funder,N
Senior,EX,collab,Y
Senior,EX,collab,N
Junior,EX,collab,Y
Junior,EX,community,Y
Senior,EX,community,Y
Senior,EX,collab,Y
Senior,EX,collab,Y
Junior,EX,collab,N
Junior,EX,community,Y
Junior,EX,funder,Y
Junior,EX,collab,Y
Junior,EX,collab,Y
Junior,EX,community,Y
Senior,EX,collab,Y
Junior,EX,community,Y
Junior,EX,collab,Y
Junior,EX,collab,Y
Senior,EX,community,Y
Junior,EX,community,Y
Junior,EX,funder,N
Senior,EX,collab,N
Junior,EX,collab,Y
Junior,EX,individual,Y
Senior,EX,collab,N
Junior,EX,community,Y
Senior,EX,collab,N
Senior,EX,community,Y
Junior,EX,community,Y
Junior,EX,community,Y
Senior,EX,collab,N
Senior,EX,collab,Y
Junior,EX,collab,Y
Senior,EX,community,Y
