"country","count","user"
"Australia",2,30
"Austria",5,96
"Belarus",1,22
"Belgium",8,152
"Brazil",9,120
"Bulgaria",3,41
"Canada",14,198
"Chile",1,19
"China",10,327
"Colombia",2,24
"Croatia",1,28
"Czech Republic",9,258
"Denmark",4,56
"Ecuador",1,3
"Finland",2,116
"France",55,834
"Georgia",1,32
"Germany",60,1373
"Greece",4,133
"Hungary",6,63
"India",7,207
"Iran",2,17
"Israel",2,73
"Italy",72,1582
"Japan",3,258
"Lithuania",1,23
"Mexico",1,59
"Netherlands",10,179
"New Zealand",2,7
"Norway",5,89
"Poland",9,304
"Portugal",7,97
"Republic of Korea",7,157
"Romania",4,106
"Russia",18,1040
"Slovakia",5,86
"Slovenia",3,19
"South Africa",5,69
"Spain",15,375
"Sweden",7,104
"Switzerland",21,280
"Turkey",3,117
"UK",51,952
"Ukraine",3,34
"USA",107,1998
"Venezuela",1,0
