year,count
0,1562
1,1372
2,1819
3,1968
4,2078
5,1915
6,2001
7,1895
8,1686
9,1572
10,1509
11,1386
12,1271
13,1150
14,1160
15,1056
16,1001
17,1004
18,987
19,1000
20,994
21,925
22,914
23,845
24,918
25,783
26,797
27,768
28,748
29,669
30,674
31,581
32,547
33,499
34,461
35,517
36,478
37,445
38,431
39,440
40,431
41,393
42,395
43,403
44,353
45,365
46,370
47,376
48,374
49,382
50,297
51,201
52,187
53,158
54,114
55,90
56,74
57,65
58,57
59,47
60,29
61,32
62,21
63,19
64,15
65,14
>=66,56
