recid,career span,,,,,,
1048672,0,,,,,,
1594831,0,,,,,,
1049608,0,,,,,,
1311788,0,,,,,,
1049668,0,,,,,,
1050657,0,,,,,,
1050674,0,,,,,,
1312893,0,,,,,,
1601855,0,,,,,,
1050946,0,,,,,,
1444932,0,,,,,,
1051883,0,,,,,,
1052008,0,,,,,,
1497178,0,,,,,,
1497181,0,,,,,,
1333351,0,,,,,,
1333354,0,,,,,,
1054455,0,,,,,,
1239724,0,,,,,,
1054624,0,,,,,,
1448076,0,,,,,,
1448247,0,,,,,,
1055328,0,,,,,,
1055526,0,,,,,,
1055541,0,,,,,,
1318111,0,,,,,,
1449926,0,,,,,,
1450086,0,,,,,,
1056878,0,,,,,,
1319068,0,,,,,,
1056983,0,,,,,,
1246594,0,,,,,,
1628249,0,,,,,,
1057742,0,,,,,,
1058218,0,,,,,,
1320502,0,,,,,,
1452503,0,,,,,,
1059411,0,,,,,,
1618446,0,,,,,,
1487375,0,,,,,,
1060226,0,,,,,,
1060266,0,,,,,,
1191501,0,,,,,,
1191528,0,,,,,,
1191639,0,,,,,,
1191650,0,,,,,,
1060629,0,,,,,,
1191703,0,,,,,,
1191708,0,,,,,,
1454143,0,,,,,,
1060958,0,,,,,,
1060967,0,,,,,,
1454314,0,,,,,,
1454323,0,,,,,,
1061253,0,,,,,,
1061270,0,,,,,,
1062479,0,,,,,,
1324891,0,,,,,,
1325008,0,,,,,,
1063061,0,,,,,,
1325274,0,,,,,,
1487965,0,,,,,,
1063512,0,,,,,,
1444294,0,,,,,,
1597219,0,,,,,,
1597223,0,,,,,,
1597225,0,,,,,,
1597228,0,,,,,,
1597230,0,,,,,,
1458205,0,,,,,,
1589403,0,,,,,,
1327432,0,,,,,,
1641201,0,,,,,,
1589934,0,,,,,,
1589965,0,,,,,,
1589970,0,,,,,,
1589975,0,,,,,,
1589976,0,,,,,,
1589978,0,,,,,,
1589981,0,,,,,,
1589984,0,,,,,,
1589985,0,,,,,,
1327961,0,,,,,,
1327963,0,,,,,,
1327965,0,,,,,,
1590181,0,,,,,,
1590191,0,,,,,,
1590198,0,,,,,,
1590313,0,,,,,,
1066149,0,,,,,,
1066215,0,,,,,,
1597746,0,,,,,,
1591088,0,,,,,,
1591094,0,,,,,,
1591283,0,,,,,,
1073510,0,,,,,,
1597808,0,,,,,,
1067303,0,,,,,,
1591894,0,,,,,,
1591898,0,,,,,,
1591918,0,,,,,,
1067652,0,,,,,,
1067752,0,,,,,,
1068061,0,,,,,,
1068078,0,,,,,,
1068137,0,,,,,,
1068162,0,,,,,,
1068903,0,,,,,,
1068943,0,,,,,,
1462546,0,,,,,,
1593853,0,,,,,,
1593855,0,,,,,,
1593877,0,,,,,,
1069702,0,,,,,,
1598318,0,,,,,,
1070264,0,,,,,,
1467344,0,,,,,,
1333132,0,,,,,,
1598519,0,,,,,,
1598182,0,,,,,,
1071691,0,,,,,,
1465466,0,,,,,,
1465471,0,,,,,,
1072498,0,,,,,,
1598702,0,,,,,,
1465787,0,,,,,,
1465789,0,,,,,,
1072609,0,,,,,,
1598720,0,,,,,,
1072649,0,,,,,,
1598797,0,,,,,,
1073138,0,,,,,,
1597488,0,,,,,,
1597514,0,,,,,,
1466592,0,,,,,,
1597705,0,,,,,,
1597718,0,,,,,,
1597719,0,,,,,,
1597738,0,,,,,,
1597747,0,,,,,,
1597759,0,,,,,,
1597792,0,,,,,,
1597797,0,,,,,,
1597829,0,,,,,,
1597832,0,,,,,,
1597878,0,,,,,,
1597888,0,,,,,,
1597895,0,,,,,,
1597910,0,,,,,,
1597913,0,,,,,,
1597914,0,,,,,,
1597924,0,,,,,,
1597926,0,,,,,,
1597934,0,,,,,,
1597967,0,,,,,,
1597968,0,,,,,,
1598073,0,,,,,,
1598098,0,,,,,,
1467369,0,,,,,,
1467373,0,,,,,,
1074175,0,,,,,,
1598521,0,,,,,,
1336398,0,,,,,,
1598569,0,,,,,,
1467556,0,,,,,,
1599020,0,,,,,,
1598799,0,,,,,,
1467874,0,,,,,,
1599018,0,,,,,,
1599019,0,,,,,,
1599021,0,,,,,,
1074825,0,,,,,,
1074826,0,,,,,,
1599324,0,,,,,,
1599325,0,,,,,,
1599335,0,,,,,,
1599348,0,,,,,,
1599349,0,,,,,,
1468294,0,,,,,,
1074852,0,,,,,,
1621058,0,,,,,,
1621065,0,,,,,,
1338028,0,,,,,,
1600177,0,,,,,,
1600178,0,,,,,,
1600180,0,,,,,,
1469193,0,,,,,,
1600280,0,,,,,,
1600337,0,,,,,,
1600365,0,,,,,,
1600389,0,,,,,,
1600422,0,,,,,,
1600445,0,,,,,,
1469379,0,,,,,,
1469399,0,,,,,,
1600473,0,,,,,,
1600476,0,,,,,,
1600482,0,,,,,,
1600497,0,,,,,,
1599323,0,,,,,,
1207341,0,,,,,,
1469492,0,,,,,,
1600616,0,,,,,,
1600627,0,,,,,,
1600629,0,,,,,,
1599339,0,,,,,,
1338514,0,,,,,,
1600919,0,,,,,,
1600922,0,,,,,,
1600923,0,,,,,,
1600925,0,,,,,,
1600930,0,,,,,,
1600931,0,,,,,,
1600934,0,,,,,,
1601173,0,,,,,,
1601175,0,,,,,,
1601188,0,,,,,,
1601194,0,,,,,,
1601198,0,,,,,,
1601201,0,,,,,,
1601210,0,,,,,,
1601214,0,,,,,,
1601232,0,,,,,,
1601238,0,,,,,,
1601242,0,,,,,,
1601243,0,,,,,,
1339217,0,,,,,,
1599483,0,,,,,,
1339666,0,,,,,,
1454352,0,,,,,,
1470892,0,,,,,,
1077818,0,,,,,,
1077864,0,,,,,,
1602337,0,,,,,,
1602340,0,,,,,,
