"","D3","D4","p4q2","clust"
"1",1,1,0,"2"
"2",1,1,4,"4"
"3",1,1,0,"2"
"4",1,0,0,"1"
"5",1,1,0,"2"
"6",1,1,4,"4"
"7",1,1,0,"2"
"8",1,0,4,"1"
"9",1,1,4,"4"
"10",1,1,0,"2"
"11",1,1,0,"2"
"12",1,1,1,"2"
"13",0,1,0,"3"
"14",1,1,2,"2"
"15",0,1,2,"3"
"16",0,1,2,"3"
"17",1,1,2,"2"
"18",1,2,2,"4"
"19",0,1,2,"3"
"20",0,1,2,"3"
"21",1,1,3,"4"
"22",0,1,1,"3"
"23",0,1,0,"3"
"24",1,1,3,"4"
"25",0,1,0,"3"
"26",0,1,0,"3"
"27",0,1,0,"3"
"28",0,1,0,"3"
"29",0,1,1,"3"
"30",1,1,0,"2"
"31",1,1,0,"2"
"32",1,1,0,"2"
"33",1,1,4,"4"
"34",1,1,0,"2"
"35",1,1,0,"2"
"36",0,1,1,"3"
"37",1,1,0,"2"
"38",1,1,1,"2"
"39",1,1,0,"2"
"40",1,1,0,"2"
"41",0,1,0,"3"
"42",0,1,1,"3"
"43",0,1,0,"3"
"44",0,1,0,"3"
"45",0,1,1,"3"
"46",0,1,3,"4"
"47",0,1,1,"3"
"48",0,1,3,"4"
"49",0,1,3,"4"
"50",0,1,0,"3"
"51",0,1,1,"3"
"52",0,1,0,"3"
"53",0,1,1,"3"
"54",0,1,0,"3"
"55",0,1,1,"3"
"56",0,1,1,"3"
"57",0,1,0,"3"
"58",0,1,1,"3"
"59",0,1,0,"3"
"60",0,1,1,"3"
"61",0,1,0,"3"
"62",0,1,0,"3"
"63",1,1,0,"2"
"64",0,1,1,"3"
"65",0,1,0,"3"
"66",0,1,1,"3"
"67",1,1,0,"2"
"68",0,1,0,"3"
"69",0,1,0,"3"
"70",0,1,4,"4"
"71",0,1,0,"3"
"72",0,1,0,"3"
"73",0,1,3,"4"
"74",1,1,1,"2"
"75",0,1,4,"4"
"76",0,1,1,"3"
"77",0,1,0,"3"
"78",0,1,0,"3"
"79",0,1,3,"4"
"80",0,1,1,"3"
"81",1,1,0,"2"
"82",1,1,1,"2"
"83",0,1,0,"3"
"84",0,1,1,"3"
"85",1,1,3,"4"
"86",1,1,4,"4"
"87",0,1,0,"3"
"88",1,1,1,"2"
"89",1,1,0,"2"
"90",0,1,4,"4"
"91",0,1,1,"3"
"92",1,1,0,"2"
"93",1,1,0,"2"
"94",0,1,0,"3"
"95",0,1,4,"4"
"96",1,1,0,"2"
"97",1,1,3,"4"
"98",0,1,0,"3"
"99",0,1,1,"3"
"100",0,1,1,"3"
"101",0,1,0,"3"
"102",0,1,1,"3"
"103",1,1,0,"2"
"104",1,1,0,"2"
"105",1,1,1,"2"
"106",1,1,0,"2"
"107",1,1,0,"2"
"108",0,1,3,"4"
"109",0,1,0,"3"
"110",0,1,0,"3"
"111",0,1,0,"3"
"112",0,1,1,"3"
"113",0,1,1,"3"
"114",0,1,0,"3"
"115",1,1,0,"2"
"116",0,1,1,"3"
"117",0,1,1,"3"
"118",0,1,4,"4"
"119",0,1,3,"4"
"120",1,1,1,"2"
"121",1,1,3,"4"
"122",1,1,0,"2"
"123",1,1,0,"2"
"124",0,1,0,"3"
"125",0,1,1,"3"
"126",1,1,1,"2"
"127",1,1,0,"2"
"128",1,1,0,"2"
"129",0,1,0,"3"
"130",0,1,1,"3"
"131",0,1,3,"4"
"132",0,1,0,"3"
"133",0,1,0,"3"
"134",0,1,1,"3"
"135",1,1,0,"2"
"136",0,1,1,"3"
"137",0,1,0,"3"
"138",0,1,0,"3"
"139",1,1,1,"2"
"140",0,1,1,"3"
"141",0,1,3,"4"
"142",1,1,0,"2"
"143",0,1,0,"3"
"144",0,1,4,"4"
"145",1,1,0,"2"
"146",0,1,1,"3"
"147",1,1,0,"2"
"148",1,1,1,"2"
"149",0,1,1,"3"
"150",0,1,1,"3"
"151",1,1,0,"2"
"152",1,1,0,"2"
"153",0,1,0,"3"
"154",1,1,1,"2"
"155",1,1,1,"2"
"156",0,1,0,"3"
"157",0,1,0,"3"
"158",1,1,0,"2"
"159",1,1,0,"2"
"160",1,1,1,"2"
"161",0,1,0,"3"
"162",0,1,0,"3"
"163",1,1,0,"2"
"164",0,1,1,"3"
"165",0,1,1,"3"
"166",1,1,0,"2"
"167",1,1,0,"2"
"168",1,1,0,"2"
"169",1,1,3,"4"
"170",0,1,3,"4"
"171",0,1,1,"3"
"172",1,1,0,"2"
"173",1,1,0,"2"
"174",0,1,1,"3"
"175",1,1,1,"2"
"176",1,1,3,"4"
"177",1,1,0,"2"
"178",0,1,1,"3"
"179",1,1,0,"2"
"180",0,1,0,"3"
"181",0,1,1,"3"
"182",1,1,0,"2"
"183",0,1,1,"3"
"184",1,1,0,"2"
"185",0,1,1,"3"
"186",0,1,4,"4"
"187",0,1,1,"3"
"188",0,1,1,"3"
"189",0,1,0,"3"
"190",0,1,0,"3"
"191",0,1,0,"3"
"192",0,1,0,"3"
"193",1,1,0,"2"
"194",1,1,0,"2"
"195",0,1,1,"3"
"196",0,1,0,"3"
"197",1,1,1,"2"
"198",0,1,0,"3"
"199",1,1,0,"2"
"200",0,1,0,"3"
"201",1,1,1,"2"
"202",0,1,1,"3"
"203",0,1,1,"3"
"204",0,1,4,"4"
"205",1,1,1,"2"
"206",1,1,1,"2"
"207",0,1,0,"3"
"208",1,1,0,"2"
"209",0,1,0,"3"
"210",0,1,3,"4"
"211",0,1,0,"3"
"212",0,1,0,"3"
"213",1,1,3,"4"
"214",1,1,3,"4"
"215",1,1,0,"2"
"216",1,1,3,"4"
"217",1,1,0,"2"
"218",0,1,0,"3"
"219",1,1,0,"2"
"220",0,1,1,"3"
"221",0,1,4,"4"
"222",0,1,0,"3"
"223",1,1,0,"2"
"224",1,1,0,"2"
"225",0,1,0,"3"
"226",0,1,3,"4"
"227",1,1,1,"2"
"228",0,1,3,"4"
"229",1,1,0,"2"
"230",1,1,1,"2"
"231",0,1,0,"3"
"232",0,1,3,"4"
"233",1,1,1,"2"
"234",1,1,1,"2"
"235",1,1,0,"2"
"236",0,1,1,"3"
"237",0,1,1,"3"
"238",1,1,0,"2"
"239",0,1,1,"3"
"240",1,1,0,"2"
"241",0,1,3,"4"
"242",1,1,0,"2"
"243",1,1,3,"4"
"244",0,1,0,"3"
"245",1,1,3,"4"
"246",1,1,0,"2"
"247",1,1,1,"2"
"248",0,1,0,"3"
"249",0,1,1,"3"
"250",1,1,1,"2"
"251",1,1,1,"2"
"252",1,1,1,"2"
"253",0,1,4,"4"
"254",1,1,0,"2"
"255",0,1,0,"3"
"256",1,1,0,"2"
"257",1,1,0,"2"
"258",1,1,0,"2"
"259",1,1,1,"2"
"260",1,1,0,"2"
"261",0,1,0,"3"
"262",1,1,0,"2"
"263",0,1,1,"3"
